Name,Old_Name,Entrez_Symbol,Entrez_symbol_from_nomenclature_authority,Entrez_full_name_from_NA,Gene,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,uniprot_recommended_name,uniprot_alternative_names,uniprot_gene_names,uniprot_gene_synonyms,NCBI_nomenclaturename,NCBI_otheraliases
"""CTK""","""CTK""","""MATK""","""MATK""","""megakaryocyte-associated tyrosine kinase""","""MATK""","""megakaryocyte-associated tyrosine kinase""",,"""Csk-homologous kinase"", ""tyrosine-protein kinase CTK"", ""protein kinase HYL"", ""hematopoietic consensus tyrosine-lacking kinase"", ""tyrosylprotein kinase"", ""hydroxyaryl-protein kinase"", ""Csk-type protein tyrosine kinase"", ""HYL tyrosine kinase"", ""tyrosine kinase MATK"", ""leukocyte carboxyl-terminal src kinase related""","""HYLTK"", ""CTK"", ""HYL"", ""Lsk"", ""CHK"", ""HHYLTK"", ""DKFZp434N1212"", ""MGC1708"", ""MGC2101""","""Megakaryocyte-associated tyrosine-protein kinase""","""CSK homologous kinase"", ""Hematopoietic consensus tyrosine-lacking kinase"", ""Protein kinase HYL"", ""Tyrosine-protein kinase CTK""","""MATK""","""CTK"", ""HYL""","""megakaryocyte-associated tyrosine kinase""","""CHK"", ""CTK"", ""HHYLTK"", ""HYL"", ""HYLTK"", ""Lsk"""
"""DDR1""","""DDR1""","""DDR1""","""DDR1""","""discoidin domain receptor family, member 1""","""DDR1""","""discoidin domain receptor tyrosine kinase 1""","""discoidin domain receptor family, member 1""",,"""RTK6"", ""CD167""","""Epithelial discoidin domain-containing receptor 1""","""CD167 antigen-like family member A"", ""Cell adhesion kinase"", ""Discoidin receptor tyrosine kinase"", ""HGK2"", ""Mammary carcinoma kinase 10"", ""Protein-tyrosine kinase 3A"", ""Protein-tyrosine kinase RTK-6"", ""TRK E"", ""Tyrosine kinase DDR"", ""Tyrosine-protein kinase CAK""","""DDR1""","""CAK"", ""EDDR1"", ""NEP"", ""NTRK4"", ""PTK3A"", ""RTK6"", ""TRKE""","""discoidin domain receptor tyrosine kinase 1""","""CAK"", ""CD167"", ""DDR"", ""EDDR1"", ""HGK2"", ""MCK10"", ""NEP"", ""NTRK4"", ""PTK3"", ""PTK3A"", ""RTK6"", ""TRKE"""
"""DDR2""","""DDR2""","""DDR2""","""DDR2""","""discoidin domain receptor family, member 2""","""DDR2""","""discoidin domain receptor tyrosine kinase 2""","""discoidin domain receptor family, member 2""",,"""TKT""","""Discoidin domain-containing receptor 2""","""CD167 antigen-like family member B"", ""Discoidin domain-containing receptor tyrosine kinase 2"", ""Neurotrophic tyrosine kinase, receptor-related 3"", ""Receptor protein-tyrosine kinase TKT"", ""Tyrosine-protein kinase TYRO10""","""DDR2""","""NTRKR3"", ""TKT"", ""TYRO10""","""discoidin domain receptor tyrosine kinase 2""","""MIG20a"", ""NTRKR3"", ""TKT"", ""TYRO10"", ""WRCN"""
"""EGFR""","""EGFR""","""EGFR""","""EGFR""","""epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)""","""EGFR""","""epidermal growth factor receptor""","""epidermal growth factor receptor (avian erythroblastic leukemia viral (v-erb-b) oncogene homolog)""","""erythroblastic leukemia viral (v-erb-b) oncogene homolog (avian)"", ""erb-b2 receptor tyrosine kinase 1""","""ERBB1"", ""ERRP""","""Epidermal growth factor receptor""","""Proto-oncogene c-ErbB-1"", ""Receptor tyrosine-protein kinase erbB-1""","""EGFR""","""ERBB"", ""ERBB1"", ""HER1""","""epidermal growth factor receptor""","""ERBB"", ""ERBB1"", ""ERRP"", ""HER1"", ""NISBD2"", ""NNCIS"", ""PIG61"", ""mENA"""
"""ErbB2""","""ErbB2""","""ERBB2""","""ERBB2""","""v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)""","""ERBB2""","""erb-b2 receptor tyrosine kinase 2""","""v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)"", ""v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2""","""neuro/glioblastoma derived oncogene homolog"", ""human epidermal growth factor receptor 2"", ""metastatic lymph node gene 19""","""NEU"", ""HER-2"", ""CD340"", ""HER2"", ""c-ERB2"", ""c-ERB-2"", ""MLN-19"", ""p185(erbB2)""","""Receptor tyrosine-protein kinase erbB-2""","""Metastatic lymph node gene 19 protein"", ""Proto-oncogene Neu"", ""Proto-oncogene c-ErbB-2"", ""Tyrosine kinase-type cell surface receptor HER2"", ""p185erbB2""","""ERBB2""","""HER2"", ""MLN19"", ""NEU"", ""NGL""","""erb-b2 receptor tyrosine kinase 2""","""CD340"", ""HER-2"", ""HER-2/neu"", ""HER2"", ""MLN 19"", ""MLN-19"", ""NEU"", ""NGL"", ""TKR1"", ""VSCN2"", ""c-ERB-2"", ""c-ERB2"", ""p185(erbB2)"""
"""ErbB3""","""ErbB3""","""ERBB3""","""ERBB3""","""v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)""","""ERBB3""","""erb-b2 receptor tyrosine kinase 3""","""lethal congenital contracture syndrome 2"", ""v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3""","""human epidermal growth factor receptor 3""","""HER3""","""Receptor tyrosine-protein kinase erbB-3""","""Proto-oncogene-like protein c-ErbB-3"", ""Tyrosine kinase-type cell surface receptor HER3""","""ERBB3""","""HER3""","""erb-b2 receptor tyrosine kinase 3""","""ErbB-3"", ""FERLK"", ""HER3"", ""LCCS2"", ""MDA-BF-1"", ""VSCN1"", ""c-erbB-3"", ""c-erbB3"", ""erbB3-S"", ""p180-ErbB3"", ""p45-sErbB3"", ""p85-sErbB3"""
"""ErbB4""","""ErbB4""","""ERBB4""","""ERBB4""","""v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)""","""ERBB4""","""erb-b2 receptor tyrosine kinase 4""","""v-erb-a avian erythroblastic leukemia viral oncogene homolog-like 4"", ""v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4""","""human epidermal growth factor receptor 4""","""ALS19"", ""HER4""","""Receptor tyrosine-protein kinase erbB-4""","""Proto-oncogene-like protein c-ErbB-4"", ""Tyrosine kinase-type cell surface receptor HER4"", ""p180erbB4""","""ERBB4""","""HER4""","""erb-b2 receptor tyrosine kinase 4""","""ALS19"", ""HER4"", ""p180erbB4"""
"""EphA2""","""EphA2""","""EPHA2""","""EPHA2""","""EPH receptor A2""","""EPHA2""","""EPH receptor A2""","""EphA2""",,,"""Ephrin type-A receptor 2""","""Epithelial cell kinase"", ""Tyrosine-protein kinase receptor ECK""","""EPHA2""","""ECK""","""EPH receptor A2""","""ARCC2"", ""CTPA"", ""CTPP1"", ""CTRCT6"", ""ECK"""
"""EphA1""","""EphA1""","""EPHA1""","""EPHA1""","""EPH receptor A1""","""EPHA1""","""EPH receptor A1""","""EphA1""",,"""EPH""","""Ephrin type-A receptor 1""","""EPH tyrosine kinase"", ""EPH tyrosine kinase 1"", ""Erythropoietin-producing hepatoma receptor"", ""Tyrosine-protein kinase receptor EPH""","""EPHA1""","""EPH"", ""EPHT"", ""EPHT1""","""EPH receptor A1""","""EPH"", ""EPHT"", ""EPHT1"""
"""EphA3""","""EphA3""","""EPHA3""","""EPHA3""","""EPH receptor A3""","""EPHA3""","""EPH receptor A3""","""EphA3""",,"""HEK"", ""HEK4""","""Ephrin type-A receptor 3""","""EPH-like kinase 4"", ""HEK"", ""Tyrosine-protein kinase TYRO4"", ""Tyrosine-protein kinase receptor ETK1""","""EPHA3""","""ETK"", ""ETK1"", ""HEK"", ""TYRO4""","""EPH receptor A3""","""EK4"", ""ETK"", ""ETK1"", ""HEK"", ""HEK4"", ""TYRO4"""
"""EphA4""","""EphA4""","""EPHA4""","""EPHA4""","""EPH receptor A4""","""EPHA4""","""EPH receptor A4""","""EphA4""",,"""Hek8""","""Ephrin type-A receptor 4""","""EPH-like kinase 8"", ""Tyrosine-protein kinase TYRO1"", ""Tyrosine-protein kinase receptor SEK""","""EPHA4""","""HEK8"", ""SEK"", ""TYRO1""","""EPH receptor A4""","""EK8"", ""HEK8"", ""SEK"", ""TYRO1"""
"""EphA5""","""EphA5""","""EPHA5""","""EPHA5""","""EPH receptor A5""","""EPHA5""","""EPH receptor A5""","""EphA5""",,"""Hek7"", ""TYRO4"", ""CEK7"", ""EHK1""","""Ephrin type-A receptor 5""","""Brain-specific kinase"", ""EPH homology kinase 1"", ""EPH-like kinase 7""","""EPHA5""","""BSK"", ""EHK1"", ""HEK7"", ""TYRO4""","""EPH receptor A5""","""CEK7"", ""EHK-1"", ""EHK1"", ""EK7"", ""HEK7"", ""TYRO4"""
"""EphA7""","""EphA7""","""EPHA7""","""EPHA7""","""EPH receptor A7""","""EPHA7""","""EPH receptor A7""","""EphA7""",,"""Hek11""","""Ephrin type-A receptor 7""","""EPH homology kinase 3"", ""EPH-like kinase 11""","""EPHA7""","""EHK3"", ""HEK11""","""EPH receptor A7""","""EHK-3"", ""EHK3"", ""EK11"", ""HEK11"""
"""EphA8""","""EphA8""","""EPHA8""","""EPHA8""","""EPH receptor A8""","""EPHA8""","""EPH receptor A8""","""EphA8""",,"""Hek3""","""Ephrin type-A receptor 8""","""EPH- and ELK-related kinase"", ""EPH-like kinase 3"", ""Tyrosine-protein kinase receptor EEK""","""EPHA8""","""EEK"", ""HEK3"", ""KIAA1459""","""EPH receptor A8""","""EEK"", ""EK3"", ""HEK3"""
"""EphB1""","""EphB1""","""EPHB1""","""EPHB1""","""EPH receptor B1""","""EPHB1""","""EPH receptor B1""","""EphB1""",,"""Hek6""","""Ephrin type-B receptor 1""","""ELK"", ""EPH tyrosine kinase 2"", ""EPH-like kinase 6"", ""Neuronally-expressed EPH-related tyrosine kinase"", ""Tyrosine-protein kinase receptor EPH-2""","""EPHB1""","""ELK"", ""EPHT2"", ""HEK6"", ""NET""","""EPH receptor B1""","""ELK"", ""EPHT2"", ""Hek6"", ""NET"""
"""EphB2""","""EphB2""","""EPHB2""","""EPHB2""","""EPH receptor B2""","""EPHB2""","""EPH receptor B2""","""EphB2""",,"""Hek5"", ""Tyro5""","""Ephrin type-B receptor 2""","""Developmentally-regulated Eph-related tyrosine kinase"", ""ELK-related tyrosine kinase"", ""EPH tyrosine kinase 3"", ""EPH-like kinase 5"", ""Renal carcinoma antigen NY-REN-47"", ""Tyrosine-protein kinase TYRO5"", ""Tyrosine-protein kinase receptor EPH-3""","""EPHB2""","""DRT"", ""EPHT3"", ""EPTH3"", ""ERK"", ""HEK5"", ""TYRO5""","""EPH receptor B2""","""BDPLT22"", ""CAPB"", ""DRT"", ""EK5"", ""EPHT3"", ""ERK"", ""Hek5"", ""PCBC"", ""Tyro5"""
"""EphB3""","""EphB3""","""EPHB3""","""EPHB3""","""EPH receptor B3""","""EPHB3""","""EPH receptor B3""","""EphB3""",,"""Hek2"", ""Tyro6""","""Ephrin type-B receptor 3""","""EPH-like tyrosine kinase 2"", ""Embryonic kinase 2"", ""Tyrosine-protein kinase TYRO6""","""EPHB3""","""ETK2"", ""HEK2"", ""TYRO6""","""EPH receptor B3""","""EK2"", ""ETK2"", ""HEK2"", ""TYRO6"""
"""EphB4""","""EphB4""","""EPHB4""","""EPHB4""","""EPH receptor B4""","""EPHB4""","""EPH receptor B4""","""EphB4""",,"""Tyro11""","""Ephrin type-B receptor 4""","""Hepatoma transmembrane kinase"", ""Tyrosine-protein kinase TYRO11""","""EPHB4""","""HTK"", ""MYK1"", ""TYRO11""","""EPH receptor B4""","""CMAVM2"", ""HFASD"", ""HTK"", ""LMPHM7"", ""MYK1"", ""TYRO11"""
"""EphB6""","""EphB6""","""EPHB6""","""EPHB6""","""EPH receptor B6""","""EPHB6""","""EPH receptor B6""","""EphB6""",,"""HEP""","""Ephrin type-B receptor 6""","""HEP"", ""Tyrosine-protein kinase-defective receptor EPH-6""","""EPHB6""",,"""EPH receptor B6""","""HEP"""
"""EphA10""","""EphA10""","""EPHA10""","""EPHA10""","""EPH receptor A10""","""EPHA10""","""EPH receptor A10""",,,"""FLJ16103"", ""FLJ33655""","""Ephrin type-A receptor 10""",,"""EPHA10""",,"""EPH receptor A10""","""DFNA88"""
"""EphA6""","""EphA6""","""EPHA6""","""EPHA6""","""EPH receptor A6""","""EPHA6""","""EPH receptor A6""",,,"""FLJ35246""","""Ephrin type-A receptor 6""","""EPH homology kinase 2"", ""EPH-like kinase 12""","""EPHA6""","""EHK2"", ""HEK12""","""EPH receptor A6""","""EHK-2"", ""EHK2"", ""EK12"", ""EPA6"", ""HEK12"", ""PRO57066"""
"""PYK2""","""PYK2""","""PTK2B""","""PTK2B""","""PTK2B protein tyrosine kinase 2 beta""","""PTK2B""","""protein tyrosine kinase 2 beta""","""FAK2""",,"""CAKB"", ""PYK2"", ""RAFTK"", ""PTK"", ""CADTK""","""Protein-tyrosine kinase 2-beta""","""Calcium-dependent tyrosine kinase"", ""Calcium-regulated non-receptor proline-rich tyrosine kinase"", ""Cell adhesion kinase beta"", ""Focal adhesion kinase 2"", ""Proline-rich tyrosine kinase 2"", ""Related adhesion focal tyrosine kinase""","""PTK2B""","""FAK2"", ""PYK2"", ""RAFTK""","""protein tyrosine kinase 2 beta""","""CADTK"", ""CAKB"", ""FADK2"", ""FAK2"", ""PKB"", ""PTK"", ""PYK2"", ""RAFTK"""
"""FAK""","""FAK""","""PTK2""","""PTK2""","""PTK2 protein tyrosine kinase 2""","""PTK2""","""protein tyrosine kinase 2""","""PTK2 protein tyrosine kinase 2""","""protein phosphatase 1, regulatory subunit 71""","""FAK"", ""FADK"", ""FAK1"", ""PPP1R71""","""Focal adhesion kinase 1""","""Focal adhesion kinase-related nonkinase"", ""Protein phosphatase 1 regulatory subunit 71"", ""Protein-tyrosine kinase 2"", ""p125FAK"", ""pp125FAK""","""PTK2""","""FAK"", ""FAK1""","""protein tyrosine kinase 2""","""FADK"", ""FADK 1"", ""FAK"", ""FAK1"", ""FRNK"", ""PPP1R71"", ""p125FAK"", ""pp125FAK"""
"""FER""","""FER""","""FER""","""FER""","""fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)""","""FER""","""FER tyrosine kinase""","""fer (fps/fes related) tyrosine kinase""","""phosphoprotein NCP94"", ""protein phosphatase 1, regulatory subunit 74""","""TYK3"", ""PPP1R74""","""Tyrosine-protein kinase Fer""","""Feline encephalitis virus-related kinase FER"", ""Fujinami poultry sarcoma/Feline sarcoma-related protein Fer"", ""Proto-oncogene c-Fer"", ""Tyrosine kinase 3"", ""p94-Fer""","""FER""","""TYK3""","""FER tyrosine kinase""","""PPP1R74"", ""TYK3"", ""p94-Fer"""
"""FES""","""FES""","""FES""","""FES""","""feline sarcoma oncogene""","""FES""","""FES proto-oncogene, tyrosine kinase""","""feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog"", ""feline sarcoma oncogene""","""Oncogene FES, feline sarcoma virus"", ""c-fes/fps protein""","""FPS""","""Tyrosine-protein kinase Fes/Fps""","""Feline sarcoma/Fujinami avian sarcoma oncogene homolog"", ""Proto-oncogene c-Fes"", ""Proto-oncogene c-Fps"", ""p93c-fes""","""FES""","""FPS""","""FES proto-oncogene, tyrosine kinase""","""FPS"""
"""FGFR1""","""FGFR1""","""FGFR1""","""FGFR1""","""fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)""","""FGFR1""","""fibroblast growth factor receptor 1""","""fms-related tyrosine kinase 2""","""Pfeiffer syndrome""","""H2"", ""H3"", ""H4"", ""H5"", ""CEK"", ""FLG"", ""BFGFR"", ""N-SAM"", ""CD331""","""Fibroblast growth factor receptor 1""","""Basic fibroblast growth factor receptor 1"", ""Fms-like tyrosine kinase 2"", ""N-sam"", ""Proto-oncogene c-Fgr""","""FGFR1""","""BFGFR"", ""CEK"", ""FGFBR"", ""FLG"", ""FLT2"", ""HBGFR""","""fibroblast growth factor receptor 1""","""BFGFR"", ""CD331"", ""CEK"", ""ECCL"", ""FGFBR"", ""FGFR-1"", ""FLG"", ""FLT-2"", ""FLT2"", ""HBGFR"", ""HH2"", ""HRTFDS"", ""KAL2"", ""N-SAM"", ""OGD"", ""bFGF-R-1"""
"""FGFR3""","""FGFR3""","""FGFR3""","""FGFR3""","""fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)""","""FGFR3""","""fibroblast growth factor receptor 3""","""achondroplasia, thanatophoric dwarfism""",,"""CEK2"", ""JTK4"", ""CD333""","""Fibroblast growth factor receptor 3""",,"""FGFR3""","""JTK4""","""fibroblast growth factor receptor 3""","""ACH"", ""CD333"", ""CEK2"", ""HSFGFR3EX"", ""JTK4"""
"""FGFR2""","""FGFR2""","""FGFR2""","""FGFR2""","""fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)""","""FGFR2""","""fibroblast growth factor receptor 2""","""bacteria-expressed kinase"", ""keratinocyte growth factor receptor"", ""craniofacial dysostosis 1"", ""Jackson-Weiss syndrome""","""Crouzon syndrome"", ""Pfeiffer syndrome""","""CEK3"", ""TK14"", ""TK25"", ""ECT1"", ""K-SAM"", ""CD332""","""Fibroblast growth factor receptor 2""","""K-sam"", ""Keratinocyte growth factor receptor""","""FGFR2""","""BEK"", ""KGFR"", ""KSAM""","""fibroblast growth factor receptor 2""","""BBDS"", ""BEK"", ""BFR-1"", ""CD332"", ""CEK3"", ""CFD1"", ""ECT1"", ""JWS"", ""K-SAM"", ""KGFR"", ""TK14"", ""TK25"""
"""FGFR4""","""FGFR4""","""FGFR4""","""FGFR4""","""fibroblast growth factor receptor 4""","""FGFR4""","""fibroblast growth factor receptor 4""",,"""tyrosine kinase related to fibroblast growth factor receptor""","""JTK2"", ""CD334"", ""TKF""","""Fibroblast growth factor receptor 4""",,"""FGFR4""","""JTK2"", ""TKF""","""fibroblast growth factor receptor 4""","""CD334"", ""JTK2"", ""TKF"""
"""IGF1R""","""IGF1R""","""IGF1R""","""IGF1R""","""insulin-like growth factor 1 receptor""","""IGF1R""","""insulin like growth factor 1 receptor""","""insulin-like growth factor 1 receptor""",,"""JTK13"", ""CD221"", ""IGFIR"", ""MGC18216"", ""IGFR""","""Insulin-like growth factor 1 receptor""","""Insulin-like growth factor I receptor""","""IGF1R""",,"""insulin like growth factor 1 receptor""","""CD221"", ""IGFIR"", ""IGFR"", ""JTK13"""
"""INSR""","""INSR""","""INSR""","""INSR""","""insulin receptor""","""INSR""","""insulin receptor""",,,"""CD220""","""Insulin receptor""",,"""INSR""",,"""insulin receptor""","""CD220"", ""HHF5"""
"""IRR""","""IRR""","""INSRR""","""INSRR""","""insulin receptor-related receptor""","""INSRR""","""insulin receptor related receptor""",,,"""IRR""","""Insulin receptor-related protein""","""IR-related receptor""","""INSRR""","""IRR""","""insulin receptor related receptor""","""IRR"""
"""JAK1""","""JAK1""","""JAK1""","""JAK1""","""Janus kinase 1 (a protein tyrosine kinase)""","""JAK1""","""Janus kinase 1""",,,"""JAK1A"", ""JTK3""","""Tyrosine-protein kinase JAK1""","""Janus kinase 1""","""JAK1""","""JAK1A"", ""JAK1B""","""Janus kinase 1""","""AIIDE"", ""JAK1A"", ""JAK1B"", ""JTK3"""
"""JAK2""","""JAK2""","""JAK2""","""JAK2""","""Janus kinase 2 (a protein tyrosine kinase)""","""JAK2""","""Janus kinase 2""",,,"""JTK10""","""Tyrosine-protein kinase JAK2""","""Janus kinase 2""","""JAK2""",,"""Janus kinase 2""","""JTK10"""
"""JAK3""","""JAK3""","""JAK3""","""JAK3""","""Janus kinase 3 (a protein tyrosine kinase, leukocyte)""","""JAK3""","""Janus kinase 3""",,"""tyrosine-protein kinase JAK3"", ""leukocyte Janus kinase""","""L-JAK"", ""JAKL"", ""LJAK"", ""JAK3_HUMAN"", ""JAK-3""","""Tyrosine-protein kinase JAK3""","""Janus kinase 3"", ""Leukocyte janus kinase""","""JAK3""",,"""Janus kinase 3""","""JAK-3"", ""JAK3_HUMAN"", ""JAKL"", ""L-JAK"", ""LJAK"""
"""TYK2""","""TYK2""","""TYK2""","""TYK2""","""tyrosine kinase 2""","""TYK2""","""tyrosine kinase 2""",,,"""JTK1""","""Non-receptor tyrosine-protein kinase TYK2""",,"""TYK2""",,"""tyrosine kinase 2""","""IMD35"", ""JTK1"""
"""LMR1""","""LMR1""","""AATK""","""AATK""","""apoptosis-associated tyrosine kinase""","""AATK""","""apoptosis associated tyrosine kinase""",,"""lemur tyrosine kinase 1"", ""protein phosphatase 1, regulatory subunit 77""","""AATYK"", ""KIAA0641"", ""LMTK1"", ""LMR1"", ""AATYK1"", ""PPP1R77""","""Serine/threonine-protein kinase LMTK1""","""Apoptosis-associated tyrosine kinase"", ""Brain apoptosis-associated tyrosine kinase"", ""CDK5-binding protein"", ""Lemur tyrosine kinase 1"", ""p35-binding protein""","""AATK""","""AATYK"", ""KIAA0641"", ""LMR1"", ""LMTK1""","""apoptosis associated tyrosine kinase""","""AATYK"", ""AATYK1"", ""LMR1"", ""LMTK1"", ""PPP1R77"", ""p35BP"""
"""LMR2""","""LMR2""","""LMTK2""","""LMTK2""","""lemur tyrosine kinase 2""","""LMTK2""","""lemur tyrosine kinase 2""",,"""protein phosphatase 1, regulatory subunit 100""","""KIAA1079"", ""KPI2"", ""KPI-2"", ""cprk"", ""LMR2"", ""BREK"", ""AATYK2"", ""PPP1R100""","""Serine/threonine-protein kinase LMTK2""","""Apoptosis-associated tyrosine kinase 2"", ""Brain-enriched kinase"", ""CDK5/p35-regulated kinase"", ""Kinase/phosphatase/inhibitor 2"", ""Lemur tyrosine kinase 2"", ""Serine/threonine-protein kinase KPI-2""","""LMTK2""","""AATYK2"", ""BREK"", ""KIAA1079"", ""KPI2"", ""LMR2""","""lemur tyrosine kinase 2""","""AATYK2"", ""BREK"", ""KPI-2"", ""KPI2"", ""LMR2"", ""PPP1R100"", ""cprk"", ""hBREK"""
"""LMR3""","""LMR3""","""LMTK3""","""LMTK3""","""lemur tyrosine kinase 3""","""LMTK3""","""lemur tyrosine kinase 3""",,"""protein phosphatase 1, regulatory subunit 101""","""KIAA1883"", ""LMR3"", ""AATYK3"", ""TYKLM3"", ""PPP1R101""","""Serine/threonine-protein kinase LMTK3""","""Lemur tyrosine kinase 3""","""LMTK3""","""KIAA1883"", ""TYKLM3""","""lemur tyrosine kinase 3""","""AATYK3"", ""LMR3"", ""PPP1R101"", ""TYKLM3"""
"""MET""","""MET""","""MET""","""MET""","""met proto-oncogene (hepatocyte growth factor receptor)""","""MET""","""MET proto-oncogene, receptor tyrosine kinase""","""met proto-oncogene""","""hepatocyte growth factor receptor""","""HGFR"", ""RCCP2"", ""DFNB97""","""Hepatocyte growth factor receptor""","""HGF/SF receptor"", ""Proto-oncogene c-Met"", ""Scatter factor receptor"", ""Tyrosine-protein kinase Met""","""MET""",,"""MET proto-oncogene, receptor tyrosine kinase""","""AUTS9"", ""DA11"", ""DFNB97"", ""HGFR"", ""RCCP2"", ""c-Met"""
"""RON""","""RON""","""MST1R""","""MST1R""","""macrophage stimulating 1 receptor (c-met-related tyrosine kinase)""","""MST1R""","""macrophage stimulating 1 receptor""","""PTK8 protein tyrosine kinase 8"", ""S13 erythroblastosis (avian) oncogene homolog"", ""S13 avian erythroblastosis oncogene homolog""","""c-met-related tyrosine kinase""","""CDw136"", ""CD136""","""Macrophage-stimulating protein receptor""","""CDw136"", ""Protein-tyrosine kinase 8"", ""p185-Ron""","""MST1R""","""PTK8"", ""RON""","""macrophage stimulating 1 receptor""","""CD136"", ""CDw136"", ""NPCA3"", ""PTK8"", ""RON"", ""SEA"", ""p185-Ron"""
"""MUSK""","""MUSK""","""MUSK""","""MUSK""","""muscle, skeletal, receptor tyrosine kinase""","""MUSK""","""muscle associated receptor tyrosine kinase""","""muscle, skeletal, receptor tyrosine kinase""",,,"""Muscle, skeletal receptor tyrosine-protein kinase""","""Muscle-specific tyrosine-protein kinase receptor""","""MUSK""",,"""muscle associated receptor tyrosine kinase""","""CMS9"", ""FADS"", ""FADS1"""
"""FMS""","""FMS""","""CSF1R""","""CSF1R""","""colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog""","""CSF1R""","""colony stimulating factor 1 receptor""","""McDonough feline sarcoma viral (v-fms) oncogene homolog""",,"""C-FMS"", ""CSFR"", ""CD115""","""Macrophage colony-stimulating factor 1 receptor""","""CSF-1 receptor"", ""Proto-oncogene c-Fms""","""CSF1R""","""FMS""","""colony stimulating factor 1 receptor""","""BANDDOS"", ""C-FMS"", ""CD115"", ""CSF-1R"", ""CSFR"", ""FIM2"", ""FMS"", ""GPSC"", ""HDLS"", ""HDLS1"", ""M-CSF-R"""
"""FLT3""","""FLT3""","""FLT3""","""FLT3""","""fms-related tyrosine kinase 3""","""FLT3""","""fms related receptor tyrosine kinase 3""","""fms-related tyrosine kinase 3"", ""fms related tyrosine kinase 3""",,"""STK1"", ""FLK2"", ""CD135""","""Receptor-type tyrosine-protein kinase FLT3""","""FL cytokine receptor"", ""Fetal liver kinase-2"", ""Fms-like tyrosine kinase 3"", ""Stem cell tyrosine kinase 1""","""FLT3""","""CD135"", ""FLK2"", ""STK1""","""fms related receptor tyrosine kinase 3""","""CD135"", ""FLK-2"", ""FLK2"", ""STK1"""
"""KIT""","""KIT""","""KIT""","""KIT""","""v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog""","""KIT""","""KIT proto-oncogene, receptor tyrosine kinase""","""piebald trait"", ""v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog""","""mast/stem cell growth factor receptor Kit""","""CD117"", ""SCFR"", ""C-Kit""","""Mast/stem cell growth factor receptor Kit""","""Piebald trait protein"", ""Proto-oncogene c-Kit"", ""Tyrosine-protein kinase Kit"", ""p145 c-kit"", ""v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog""","""KIT""","""SCFR""","""KIT proto-oncogene, receptor tyrosine kinase""","""C-Kit"", ""CD117"", ""MASTC"", ""PBT"", ""SCFR"""
"""PDGFRa""","""PDGFRa""","""PDGFRA""","""PDGFRA""","""platelet-derived growth factor receptor, alpha polypeptide""","""PDGFRA""","""platelet derived growth factor receptor alpha""","""platelet-derived growth factor receptor, alpha polypeptide""",,"""CD140a"", ""PDGFR2"", ""GAS9""","""Platelet-derived growth factor receptor alpha""","""Alpha platelet-derived growth factor receptor"", ""Alpha-type platelet-derived growth factor receptor"", ""CD140 antigen-like family member A"", ""CD140a antigen"", ""Platelet-derived growth factor alpha receptor"", ""Platelet-derived growth factor receptor 2""","""PDGFRA""","""PDGFR2"", ""RHEPDGFRA""","""platelet derived growth factor receptor alpha""","""CD140A"", ""PDGFR-2"", ""PDGFR2"""
"""PDGFRb""","""PDGFRb""","""PDGFRB""","""PDGFRB""","""platelet-derived growth factor receptor, beta polypeptide""","""PDGFRB""","""platelet derived growth factor receptor beta""","""platelet-derived growth factor receptor, beta polypeptide""",,"""JTK12"", ""CD140b"", ""PDGFR1""","""Platelet-derived growth factor receptor beta""","""Beta platelet-derived growth factor receptor"", ""Beta-type platelet-derived growth factor receptor"", ""CD140 antigen-like family member B"", ""Platelet-derived growth factor receptor 1""","""PDGFRB""","""PDGFR"", ""PDGFR1""","""platelet derived growth factor receptor beta""","""CD140B"", ""IBGC4"", ""IMF1"", ""JTK12"", ""KOGS"", ""OPDKD"", ""PDGFR"", ""PDGFR-1"", ""PDGFR1"", ""PENTT"""
